state,rainfall
1. Hawaii,63.7
2. Louisiana,60.09
3. Mississippi,59.23
4. Alabama,58.28
5. Florida,54.57
6. Tennessee,54.22
7. Arkansas,50.78
8. Georgia,50.72
9. North Carolina,50.45
10. Connecticut,50.39
11. South Carolina,49.84
12. Kentucky,48.98
13. Rhode Island,47.98
14. Massachusetts,47.88
15. New Jersey,47.15
16. Delaware,45.68
17. West Virginia,45.3
18. Maryland,44.64
19. Virginia,44.39
20. New Hampshire,43.42
21. Pennsylvania,43.02
22. Vermont,42.82
23. Maine,42.28
24. Missouri,42.23
25. New York,41.9
26. Indiana,41.72
27. Illinois,39.32
28. Ohio,39.16
29. Washington,38.78
30. Oklahoma,36.55
31. Iowa,34.05
32. Michigan,32.84
33. Wisconsin,32.64
34. Kansas,28.92
35. Texas,28.87
36. Oregon,27.55
37. Minnesota,27.44
38. Nebraska,23.63
39. Alaska,22.7
40. California,22.2
41. South Dakota,20.14
42. Idaho,18.96
43. North Dakota,17.82
44. Colorado,15.97
45. Montana,15.37
46. New Mexico,14.63
47. Arizona,13.61
48. Wyoming,12.97
49. Utah,12.26
50. Nevada,9.54